sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
5.1,3.474232041763919,1.4,0.2
4.9,3.0,1.6909817086077612,0.2
4.7,3.2597045159059403,1.3,0.2
4.6,3.1,1.5,0.27926597957770083
5.0,3.6,1.4,0.2
5.4,3.9,1.7,0.4
4.927000908181905,3.4,1.4,0.22915176155873063
5.0,3.4,1.5,0.2
4.4,3.0038275884683365,1.4,0.2472153181884702
4.9,3.1,1.5,0.1
5.286818830737261,3.7,1.5,0.2
4.8,3.4,1.6,0.2
4.8,3.0,1.4,0.1
4.3,3.0921630697677482,1.027895481238073,0.1
5.8,4.0,1.2,0.2
5.7,4.4,1.5,0.4
5.4,3.9,1.3,0.4
5.1,3.5,1.4,0.3
5.7,3.7662031334053503,1.7,0.3
5.1,3.8,1.5,0.3
5.4,3.4,1.7,0.2
5.77348533887059,3.7,2.6805457585601262,0.8294484774090358
4.6,3.6,1.0,0.2
5.1,3.3,1.7,0.5
4.8,3.4,1.9,0.2
5.0,3.0,1.6,0.2
5.0,3.4192031146618507,1.6,0.4
5.2,3.5,1.9594979884108072,0.510060187841565
5.2,3.4,1.4,0.2
4.956308627097321,3.2,1.6,0.2
4.8,3.0997774523076034,1.6,0.2
5.4,3.4,2.460448617679602,0.705826235020041
5.7032959745754574,4.1,1.5,0.1
5.5,4.2,1.4,0.2
4.9,3.1,1.5,0.2
5.0,3.2,1.2,0.2
5.5,3.5,1.3,0.2
5.201316321329119,3.6,1.4,0.1
4.4,3.040565522858958,1.3,0.2
5.1,3.4,1.9294856047124538,0.4867411531381052
4.865370208669924,3.5,1.3,0.3
4.5,2.3,2.0732882783965723,0.3
4.699104452687726,3.2,1.3,0.2
5.0,3.5,1.6,0.6
5.1,3.8,1.9,0.6161307744348229
4.8,3.0,1.4,0.3
5.1,3.8,1.6,0.2
4.6,3.2,1.4,0.2571679088405645
5.3,3.7,1.5,0.2
5.0,3.3,1.899473221014102,0.463422118434646
7.0,3.2,4.7,1.4
6.4,3.2,4.5,1.5
6.9,3.1,4.92950592155147,1.5
5.5,2.3,4.0,1.3
6.5,2.8,4.6,1.5
5.7,2.8,4.5,1.3
6.528597266513513,3.3,4.7,1.6
4.9,2.4,3.3,1.0
5.875792116133812,2.9,4.034863659753685,1.3
5.2,2.7,3.9,1.3572119595436742
5.0,2.0,3.5,1.0
5.9,3.0,4.2,1.5
6.0,2.2,4.0,1.0
6.1,2.9,4.7,1.4
5.6,2.9,3.8269939327583034,1.3
6.7,3.1,4.4,1.4
6.170340687190017,2.9753494008784047,4.5,1.5
5.8,2.7,4.1,1.0
5.6084821939797305,2.2,4.5,1.3998432970795176
5.6,2.5,4.137201545273966,1.2992668895893345
5.9,3.2,4.8,1.8
6.1,2.8,4.0,1.3
5.891236211269528,2.5,4.636023156376192,1.5
6.1,2.8,4.7,1.2
6.4,2.9,4.3,1.3
6.6,3.280191062796402,4.4,1.4
6.8,2.8,4.8,1.4
6.452573282773541,3.0,5.0,1.7
6.0,2.9,4.5,1.535226612924578
5.417924875556846,2.6,3.5,1.0
5.5,2.4,3.8,1.0953874193877513
5.5,2.4,3.723219743580037,1.0
5.8,2.7,3.9,1.2
6.46424505829531,2.8107554715989402,5.1,1.6
5.4,3.0,3.876734516002746,1.5
6.0,3.4,4.5,1.6
6.7,3.2156371649613122,4.68878842073421,1.5
6.3,2.3,4.4,1.3
5.6,2.9203279113118787,3.811177409861106,1.3
5.5,2.5,4.0,1.3
6.022574996618262,2.6,4.4,1.2
6.1,3.0,4.6,1.5996831487497707
5.8,2.6,4.0,1.2
5.0,2.3,3.3,1.0
5.6,2.7,4.2,1.3
5.7,3.0,4.2,1.2
5.7,2.9,3.902365821523436,1.3
6.2,2.9,4.3,1.3
4.822521064768541,2.5,3.0,1.1
5.848387592502237,2.8,4.1,1.3
7.04447717829316,2.8014774594545075,6.66212874518186,2.5
5.8,2.7,5.1,1.9
7.1,3.0872212459349537,5.9,2.1
6.3,2.9,5.6,1.8
6.5,3.0,4.995214147721926,1.7079755056158796
7.6,3.0,6.6,2.1
4.9,2.5,4.5,1.7
7.3,2.9,6.3,1.8
6.7,2.5,5.8,1.8
7.394045458974537,3.6,6.1,2.300259344931586
6.5,3.2,5.1,2.0
6.4,2.7,5.3,1.9
